127.0.0.1 - - [29/Jul/2018:12:36:22 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:25 +0800] "GET /WebSample/sample/ListUser1 HTTP/1.1" 200 55434
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/css/bootstrap.min.css HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/jquery-ui/jquery-ui.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/jquery-ui/jquery.datetimepicker.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/jquery-ui/jquery-ui.theme.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/js/jquery.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/jquery-ui/jquery-ui.structure.css HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/jquery-ui/jquery.datetimepicker.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:26 +0800] "GET /WebSample/;jsessionid=E6BBAB77C132BA356251C6DFFEFC40A5theme/js/bootstrap.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/sample/ListUser1 HTTP/1.1" 200 55082
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.structure.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/jquery-ui/jquery.datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:32 +0800] "GET /WebSample/theme/jquery-ui/jquery.datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/sample/ListUser1 HTTP/1.1" 200 55082
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.structure.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/jquery-ui/jquery.datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2018:12:36:40 +0800] "GET /WebSample/theme/jquery-ui/jquery.datetimepicker.js HTTP/1.1" 304 -
